,marketPriceBTCInUSD,tradeVolume,medianConfirmationTime,blocksSize,costPerTransactionPercent,difficulty,hashRate,numberOfTransactionsPerBlock,totalTransactions,totalAdressesTransactions,numberOfcirculatingBitcoins,marketCapitalization
2016-17-10:02,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:03,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:04,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:05,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:06,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:07,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:08,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:09,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:10,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:11,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:12,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:13,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:14,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:15,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:16,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:17,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:18,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:19,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:20,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:21,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:22,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:23,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-18-10:00,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:01,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:02,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:03,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:04,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:05,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:06,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:07,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:08,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:09,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:10,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:11,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:12,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:13,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:14,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:15,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:16,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:17,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:18,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:19,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:20,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:21,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:22,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
2016-18-10:23,636.2965,14579936.5177,9.11666666667,86608.564018,0.593446621267,1239301.71,1991941.50693,1622.71612903,164080946,435277,15936412.5,10183048859.2
